"ID","Ano","Score","RandomForest","SVM","NeuralNetwork","KNN","DecisionTree","NLP","Ethnography","Interview","Participatory","Observation","TraditionalKnowledge","Ethnobotany","IndigenousPeoples","LocalKnowledge","Agroecology","Biodiversity","TraditionalFarming","OrganicFarming","KnowledgeMapping","PatternRecognition","SpatialAnalysis","TextAnalysis","Europe","Asia","Americas","CrossValidation","FeatureSelection","Hyperparameter","HighScore"
132,2025,45.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Low"
133,2025,47.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"Low"
134,2025,70,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"High"
135,2025,70,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"High"
136,2025,66.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Low"
137,2025,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"High"
138,2025,44.6,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Low"
139,2025,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"High"
140,2025,49,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Low"
141,2025,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Low"
142,2024,44.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Low"
143,2024,46.8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Low"
